week_idx,week_start,n_components,variance_explained,original_features,reduction_pct
0,2017-08-17 04:00:00,36,0.9521978026755394,240,85.0
1,2017-08-24 04:00:00,44,0.9508021646164192,240,81.66666666666667
2,2017-08-31 04:00:00,32,0.9501513744518282,240,86.66666666666667
3,2017-09-07 10:00:00,39,0.9507211514824321,240,83.75
4,2017-09-14 10:00:00,29,0.9503504509448795,240,87.91666666666667
5,2017-09-21 10:00:00,34,0.9508064864331275,240,85.83333333333334
6,2017-09-28 10:00:00,37,0.9502331006376102,240,84.58333333333333
7,2017-10-05 10:00:00,21,0.9522408231407835,240,91.25
8,2017-10-12 10:00:00,44,0.9523632625725005,240,81.66666666666667
9,2017-10-19 10:00:00,36,0.9501134692321015,240,85.0
10,2017-10-26 10:00:00,28,0.9505719232377718,240,88.33333333333333
11,2017-11-02 10:00:00,38,0.9506888806122491,240,84.16666666666667
12,2017-11-09 10:00:00,25,0.9504206654371975,240,89.58333333333334
13,2017-11-16 10:00:00,39,0.9519114945338735,240,83.75
14,2017-11-23 10:00:00,19,0.9500825753273728,240,92.08333333333334
15,2017-11-30 10:00:00,29,0.9500947420837537,240,87.91666666666667
16,2017-12-07 10:00:00,31,0.9503221205126342,240,87.08333333333333
17,2017-12-14 10:00:00,29,0.9519153657303946,240,87.91666666666667
18,2017-12-21 10:00:00,28,0.9518615088754785,240,88.33333333333333
19,2017-12-28 10:00:00,29,0.952139531617077,240,87.91666666666667
20,2018-01-04 11:00:00,25,0.9510172034385995,240,89.58333333333334
21,2018-01-11 11:00:00,16,0.9511132793567132,240,93.33333333333333
22,2018-01-18 11:00:00,32,0.951436907804968,240,86.66666666666667
23,2018-01-25 11:00:00,31,0.9519576849225335,240,87.08333333333333
24,2018-02-01 11:00:00,18,0.9503935669967218,240,92.5
25,2018-02-09 20:00:00,32,0.950312355654547,240,86.66666666666667
26,2018-02-16 20:00:00,28,0.9509142999824042,240,88.33333333333333
27,2018-02-23 20:00:00,30,0.9518939187617907,240,87.5
28,2018-03-02 20:00:00,19,0.9511751050651209,240,92.08333333333334
29,2018-03-09 20:00:00,34,0.9525521479460295,240,85.83333333333334
30,2018-03-16 20:00:00,29,0.9517468360061694,240,87.91666666666667
31,2018-03-23 20:00:00,31,0.9517715661969444,240,87.08333333333333
32,2018-03-30 20:00:00,39,0.9505388589952246,240,83.75
33,2018-04-06 20:00:00,38,0.9520283197169631,240,84.16666666666667
34,2018-04-13 20:00:00,45,0.9515392099581335,240,81.25
35,2018-04-20 20:00:00,27,0.950741586424233,240,88.75
36,2018-04-27 20:00:00,34,0.9523956438790613,240,85.83333333333334
